E,L,M,S,R,H,A,Y
Sonora,80.16700918,0,3.316495649,3.410669299,9.36909193,0,-6.00925967
Sonora,69.18041235,0,11.46594431,1.914096292,14.07507947,0,-3.559588927
Sonora,67.54825866,0,-4.077659929,1.214852073,19.78645856,0,3.037180048
Sonora,81.62200895,0,7.877180051,6.505939555,10.43513249,0,1.367908893
Sonora,35.42805124,0,-0.643804674,-10.71401995,18.72446374,0,63.8156957
Sonora,48.88153334,1,1.63499405,3.486694588,28.38212764,1,-6.623917256
Sonora,62.90664457,0,8.76961008,-3.274718363,40.94765633,0,13.76112209
Sonora,79.44318124,0,-8.097434433,3.676383169,21.62267368,0,5.024763403
Sonora,63.53207344,1,1.8602953,0.649656576,13.01261071,0,-5.858680727
Sonora,60.13568091,0,8.278830801,0.757073669,13.4020398,1,-0.583878824
Sonora,76.49347468,0,2.689009366,1.072368972,27.6990818,1,-9.651209756
Sonora,62.60928053,0,5.293567657,5.252269628,34.68848062,0,5.648842075
Sonora,76.34811267,0,1.084573173,4.259787306,24.80126541,0,-6.233015112
Sonora,80.51926291,0,15.40609403,2.813862515,12.49969071,0,-7.091977093
Sonora,74.89659073,0,9.677742717,2.327350795,24.67343606,0,-14.22776326
Sonora,80.22002049,0,0.461450911,-0.646614785,14.42948975,0,-3.261468602
Sonora,70.43325607,0,3.644238887,1.461576067,6.897238001,0,-4.422344151
Sonora,68.67675687,0,4.127816836,1.690893288,15.20036234,0,9.324205883
Sonora,68.12145483,0,14.63746399,2.394396332,26.26035767,0,-1.086564953
Sonora,73.38898149,0,24.00978495,0.048508897,18.54364285,0,-16.38075072
Sonora,56.70007893,0,2.358360857,-2.690324753,33.75521381,1,10.00790215
Sonora,60.78304738,0,2.132312642,-1.203072196,16.64017071,0,-0.815215473
Sonora,64.89609668,0,3.270434069,1.216945658,17.54855328,0,2.569214335
Tamaulipas,77.17532934,0,3.126518838,-0.006892722,3.097277798,0,-6.823866739
Tamaulipas,75.54497843,0,2.16192589,-0.618814057,9.256307107,0,-9.66552861
Tamaulipas,46.7713547,1,0.943807175,-1.221622431,18.49229134,0,-0.30774868
Tamaulipas,74.92522719,0,1.849942112,-1.138503836,8.59879928,0,0.097256427
Tamaulipas,94.06506801,0,17.72345822,2.025784637,11.4260111,0,-17.98871609
Tamaulipas,97.55508765,0,2.538182918,2.479577948,4.925693231,0,-6.182545396
Tamaulipas,72.69141703,1,-0.54081614,2.831494491,25.589951,1,-18.34132204
Tamaulipas,84.30704344,0,2.308410255,1.803243077,11.87078735,0,-8.369934701
Tamaulipas,43.23890549,1,0.69449192,-3.953893341,16.54568456,0,-7.066357037
Tamaulipas,86.48717746,0,0.571016792,0.772964101,7.787917243,0,-5.096910077
Tamaulipas,63.88706083,0,-3.174479452,-0.128471946,5.047376235,0,1.552974517
Tamaulipas,66.75688976,0,1.551950374,2.906832756,19.05198656,0,8.235230576
Tamaulipas,70.24531598,0,2.821975382,-0.834367911,11.14516652,0,0.896149958
Tamaulipas,54.50787665,0,3.540702361,1.61926591,13.73535253,1,8.415236844
Tamaulipas,54.63033013,0,-0.47379017,4.891296939,35.71207675,1,26.30861071
Tamaulipas,70.58963683,0,3.275593695,0.690322995,15.28529397,0,17.03461935
Tamaulipas,80.52605663,0,1.737406405,0.833803458,4.268914624,0,-27.4033514
Tamaulipas,69.29593577,0,4.95084363,0.961955762,4.37623021,0,-7.350936121
Tamaulipas,78.74753845,0,0.20490131,0.967473096,7.244458765,0,6.506076096
Tamaulipas,90.2319904,0,0.088173557,-0.247950771,10.13539851,0,8.029077775
